index, f_val
403, 0.000000
404, 0.521208
405, 1.270227
406, 0.000000
407, 0.979462
408, 4.035897
409, 0.686352
410, 1.490883
411, 0.072953
412, 0.847900
413, 0.000000
414, 1.052134
415, 0.552707
416, 0.000000
417, 0.000000
418, 0.000000
419, 0.539818
420, 0.000000
421, 0.000000
422, 0.378525
423, 0.872964
424, 0.000000
425, 0.000000
426, 2.148471
427, 0.675111
428, 3.480201
429, 0.431930
430, 1.042644
431, 0.000000
432, 0.398445
433, 0.000000
434, 0.000000
435, 0.372415
436, 0.000000
437, 0.392515
438, 1.838009
439, 0.522865
440, 0.000000
441, 0.000000
442, 0.099956
443, 0.177108
444, 0.000000
445, 1.005454
446, 0.000000
447, 0.000000
448, 0.000000
449, 0.656803
450, 0.000000
451, 0.000000
452, 0.000000
453, 1.661360
454, 0.034017
455, 1.966201
456, 0.000000
457, 0.000000
458, 2.728207
459, 0.680343
460, 1.144714
461, 0.000000
462, 0.000000
463, 1.257744
464, 2.234172
465, 1.901997
466, 0.000000
467, 0.000000
468, 0.000000
469, 0.322568
470, 0.000000
471, 0.000000
472, 0.000000
473, 2.502943
474, 0.784273
475, 1.285095
476, 1.348303
477, 0.000000
478, 0.652215
479, 0.399527
480, 0.654269
481, 0.060879
482, 0.000000
483, 1.158444
484, 1.273525
485, 2.461958
486, 0.000000
487, 0.000000
488, 1.988366
489, 0.443869
490, 1.397089
491, 0.432530
492, 0.000000
493, 0.190039
494, 2.071496
495, 1.974188
496, 0.000000
497, 0.000000
498, 0.000000
499, 0.269037
500, 0.000000
501, 0.345950
502, 0.000000
503, 0.986668
504, 0.092289
505, 1.264553
506, 0.221209
507, 0.000000
508, 0.426658
509, 0.272555
510, 0.000000
511, 0.005876
512, 0.000000
513, 2.269603
514, 0.000000
515, 0.572992
516, 1.547495
517, 0.000000
518, 0.000000
519, 0.392053
520, 0.000000
521, 0.000000
522, 0.176013
523, 2.844194
524, 0.039393
525, 0.000000
526, 2.779376
527, 0.000000
528, 1.549548
529, 0.400048
530, 0.000000
531, 0.000000
532, 0.574918
533, 1.186678
534, 0.328598
535, 0.080000
536, 1.226615
537, 0.000000
538, 1.029523
539, 0.374176
540, 0.017768
541, 0.000000
542, 0.708764
543, 0.000000
